Name:	KIT-SIMBA-013-2.081
Channel:	81
Tester	Maccor #4
Procedure	SIMBA.000
Description	SIMBA-Capacity_test
Started	06/05/2021 11:23:46
SCap	0,017
C Rate	0,003
Ch. max. V	6,00 V
DisCh. min. V	0,00 V
Ch. max. I	5,000 A
DisCh. max. I	5,000 A

Rec	Cycle P	Cycle C	Step	TestTime	StepTime	Cap. [Ah]	Ener. [Wh]	Current [A]	Voltage [V]	Md	ES	DPT Time	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15
48	0	1	1	47,000000	47,000000	0,00000000	0,00000000	0,00000000	0,1497	R	1	06/05/2021 12:10:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
49	0	1	1	48,000000	48,000000	0,00000000	0,00000000	0,00000000	0,1498	R	1	06/05/2021 12:11:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
50	0	1	1	49,000000	49,000000	0,00000000	0,00000000	0,00000000	0,1498	R	1	06/05/2021 12:12:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
51	0	1	1	50,000000	50,000000	0,00000000	0,00000000	0,00000000	0,1500	R	1	06/05/2021 12:13:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
52	0	1	1	51,000000	51,000000	0,00000000	0,00000000	0,00000000	0,1500	R	1	06/05/2021 12:14:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
53	0	1	1	52,000000	52,000000	0,00000000	0,00000000	0,00000000	0,1502	R	1	06/05/2021 12:15:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
54	0	1	1	53,000000	53,000000	0,00000000	0,00000000	0,00000000	0,1501	R	1	06/05/2021 12:16:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
55	0	1	1	54,000000	54,000000	0,00000000	0,00000000	0,00000000	0,1501	R	1	06/05/2021 12:17:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
56	0	1	1	55,000000	55,000000	0,00000000	0,00000000	0,00000000	0,1502	R	1	06/05/2021 12:18:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
57	0	1	1	56,000000	56,000000	0,00000000	0,00000000	0,00000000	0,1503	R	1	06/05/2021 12:19:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
58	0	1	1	57,000000	57,000000	0,00000000	0,00000000	0,00000000	0,1503	R	1	06/05/2021 12:20:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
59	0	1	1	58,000000	58,000000	0,00000000	0,00000000	0,00000000	0,1504	R	1	06/05/2021 12:21:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
60	0	1	1	59,000000	59,000000	0,00000000	0,00000000	0,00000000	0,1503	R	1	06/05/2021 12:22:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
61	0	1	1	60,000000	60,000000	0,00000000	0,00000000	0,00000000	0,1503	R	1	06/05/2021 12:23:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
62	0	1	1	61,000000	61,000000	0,00000000	0,00000000	0,00000000	0,1504	R	1	06/05/2021 12:24:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
