Test_ID;Data_Point;Test_Time;Step_Time;DateTime;Step_Index;Cycle_Index;Is_FC_Data;Current;Voltage;Charge_Capacity;Discharge_Capacity;Charge_Energy;Discharge_Energy;dV/dt;Internal_Resistance;AC_Impedance;ACI_Phase_Angle
1;9161;780608,2523;5,203949122;42596,71333;10;16;0;-0,00030456;0,7343846;0;4,39909E-07;0;3,28546E-07;-0,003079128;13,71504;0;0
1;9162;780609,6175;6,569108577;42596,71334;10;16;0;-0,00030456;0,7288421;0;5,55319E-07;0;4,13E-07;-0,002955961;13,71504;0;0
1;9163;780611,2084;8,159964611;42596,71337;10;16;0;-0,00030456;0,7232997;0;6,89828E-07;0;5,10697E-07;-0,002832806;13,71504;0;0
1;9164;780612,8545;9,806086982;42596,71338;10;16;0;-0,000304207;0,7180652;0;8,29012E-07;0;6,11029E-07;-0,002524889;13,71504;0;0
1;9165;780614,5284;11,48000008;42596,7134;10;16;0;-0,00030456;0,7128307;0;9,70551E-07;0;7,12331E-07;-0,002278554;13,71504;0;0
1;9166;780616,5275;13,47908338;42596,71343;10;16;0;-0,00030456;0,7072882;0;1,13956E-06;0;8,32381E-07;-0,002032232;13,71504;0;0
1;9167;780618,5396;15,49118653;42596,71345;10;16;0;-0,00030456;0,7020537;0;1,30965E-06;0;9,52281E-07;-0,00184747;13,71504;0;0
1;9168;780620,6955;17,64707741;42596,71347;10;16;0;-0,00030456;0,6968192;0;1,49194E-06;0;1,07981E-06;-0,001909065;13,71504;0;0
1;9169;780622,8886;19,84017484;42596,7135;10;16;0;-0,00030456;0,6915846;0;1,67733E-06;0;1,20853E-06;-0,001724315;13,71504;0;0
1;9170;780625,2506;22,20215977;42596,71353;10;16;0;-0,000304207;0,6863502;0;1,87704E-06;0;1,34617E-06;-0,001601148;13,71504;0;0
1;9171;780627,7016;24,65325501;42596,71355;10;16;0;-0,00030456;0,6811156;0;2,08425E-06;0;1,48792E-06;-0,001539564;13,71504;0;0
1;9172;780630,4867;27,43828154;42596,71359;10;16;0;-0,000304207;0,6758811;0;2,31967E-06;0;1,64772E-06;-0,001477981;13,71504;0;0
1;9173;780633,2525;30,204142;42596,71362;10;16;0;-0,00030456;0,6706465;0;2,55353E-06;0;1,80521E-06;-0,001416409;13,71504;0;0
1;9174;780636,2588;33,210386;42596,71366;10;16;0;-0,00030456;0,6654121;0;2,80768E-06;0;1,97504E-06;-0,00129323;13,71504;0;0
1;9175;780639,2228;36,17436361;42596,71369;10;16;0;-0,00030456;0,6601775;0;3,05828E-06;0;2,1412E-06;-0,001354814;13,71504;0;0
1;9176;780642,6568;39,60837854;42596,71373;10;16;0;-0,00030456;0,654943;0;3,3486E-06;0;2,33219E-06;-0,001170075;13,71504;0;0
1;9177;780646,168;43,11962309;42596,71377;10;16;0;-0,000304207;0,6497085;0;3,64547E-06;0;2,52587E-06;-0,001108479;13,71504;0;0
1;9178;780649,6908;46,64240633;42596,71381;10;16;0;-0,000304207;0,644474;0;3,94333E-06;0;2,71864E-06;-0,001108491;13,71504;0;0
1;9179;780653,3788;50,33044677;42596,71385;10;16;0;-0,000304207;0,6392394;0;4,25513E-06;0;2,91884E-06;-0,000985324;13,71504;0;0
1;9180;780657,4489;54,40049304;42596,7139;10;16;0;-0,00030456;0,634005;0;4,59921E-06;0;3,13798E-06;-0,001046896;13,71504;0;0
1;9181;780661,5691;58,52066851;42596,71395;10;16;0;-0,000304207;0,6287704;0;4,94757E-06;0;3,35796E-06;-0,000985324;13,71504;0;0
1;9182;780665,777;62,72863672;42596,71399;10;16;0;-0,000304207;0,6235359;0;5,3033E-06;0;3,58076E-06;-0,000923741;13,71504;0;0
1;9183;780670,2585;67,21015147;42596,71405;10;16;0;-0,00030456;0,6183013;0;5,68215E-06;0;3,81609E-06;-0,000923741;13,71504;0;0
1;9184;780675,0511;72,00265927;42596,71411;10;16;0;-0,00030456;0,6130669;0;6,08734E-06;0;4,06565E-06;-0,000800574;13,71504;0;0
1;9185;780679,9734;76,92497357;42596,71416;10;16;0;-0,000304207;0,6078323;0;6,50352E-06;0;4,31977E-06;-0,00073899;13,71504;0;0
1;9186;780685,0192;81,97084462;42596,71422;10;16;0;-0,00030456;0,6025978;0;6,93008E-06;0;4,57803E-06;-0,000800574;13,71504;0;0
1;9187;780690,4594;87,41098674;42596,71428;10;16;0;-0,000304207;0,5973633;0;7,39001E-06;0;4,85407E-06;-0,00073899;13,71504;0;0
1;9188;780695,9804;92,93201143;42596,71434;10;16;0;-0,000304914;0,5921288;0;7,85689E-06;0;5,13182E-06;-0,00073899;13,71504;0;0
1;9189;780701,7345;98,68606485;42596,71441;10;16;0;-0,00030456;0,5868942;0;8,34334E-06;0;5,4187E-06;-0,000677407;13,71504;0;0
1;9190;780707,7325;104,684069;42596,71448;10;16;0;-0,00030456;0,5816597;0;8,85038E-06;0;5,71508E-06;-0,000677419;13,71504;0;0
1;9191;780714,2467;111,1982635;42596,71456;10;16;0;-0,000304207;0,5764252;0;9,40105E-06;0;6,03405E-06;-0,000677407;13,71504;0;0
1;9192;780720,2478;117,1993623;42596,71463;10;16;0;-0,00030456;0,5711907;0;9,90844E-06;0;6,32533E-06;-0,000615823;13,71504;0;0
1;9193;780727,4058;124,3574264;42596,71471;10;16;0;-0,000304207;0,5659561;0;1,05137E-05;0;6,66969E-06;-0,000554252;13,71504;0;0
1;9194;780734,3789;131,3305011;42596,71479;10;16;0;-0,00030456;0,5607216;0;1,11034E-05;0;7,00201E-06;-0,000615823;13,71504;0;0
1;9195;780741,8499;138,8015215;42596,71487;10;16;0;-0,00030456;0,5554871;0;1,17349E-05;0;7,35458E-06;-0,00055424;13,71504;0;0
1;9196;780749,1289;146,0805213;42596,71497;10;16;0;-0,00030456;0,5502526;0;1,23505E-05;0;7,69506E-06;-0,000615823;13,71504;0;0
1;9197;780757,1792;154,1307742;42596,71506;10;16;0;-0,00030456;0,5450181;0;1,30311E-05;0;8,06804E-06;-0,00055424;13,71504;0;0
1;9198;780765,9352;162,8867854;42596,71515;10;16;0;-0,000304207;0,5397835;0;1,37714E-05;0;8,46974E-06;-0,000492656;13,71504;0;0
1;9199;780774,0982;171,0497742;42596,71525;10;16;0;-0,00030456;0,534549;0;1,44615E-05;0;8,84054E-06;-0,000492668;13,71504;0;0
1;9200;780782,9723;179,9238821;42596,71535;10;16;0;-0,000304207;0,5293145;0;1,52118E-05;0;9,23982E-06;-0,000431085;13,71504;0;0
1;9201;780792,3674;189,3189847;42596,71546;10;16;0;-0,000304207;0,52408;0;1,60061E-05;0;9,65838E-06;-0,000431073;13,71504;0;0
1;9202;780801,8496;198,801159;42596,71557;10;16;0;-0,00030456;0,5188454;0;1,68077E-05;0;1,00766E-05;-0,000369501;13,71504;0;0
1;9203;780811,7378;208,6893978;42596,71568;10;16;0;-0,00030456;0,5136109;0;1,76438E-05;0;1,05084E-05;-0,000431085;13,71504;0;0
1;9204;780822,1678;219,1193937;42596,71581;10;16;0;-0,00030456;0,5083764;0;1,85256E-05;0;1,09593E-05;-0,000369489;13,71504;0;0
1;9205;780833,1661;230,1176665;42596,71594;10;16;0;-0,00030456;0,5031419;0;1,94555E-05;0;1,14298E-05;-0,000431073;13,71504;0;0
1;9206;780844,213;241,1645759;42596,71606;10;16;0;-0,000304207;0,4979073;0;2,03895E-05;0;1,18974E-05;-0,000369495;13,71504;0;0
1;9207;780856,0473;252,9989094;42596,7162;10;16;0;-0,000304207;0,4926728;0;2,139E-05;0;1,23932E-05;-0,000369495;13,71504;0;0
1;9208;780867,6043;264,5559164;42596,71633;10;16;0;-0,00030456;0,4874383;0;2,23671E-05;0;1,28723E-05;-0,000369495;13,71504;0;0
1;9209;780880,4134;277,365046;42596,71648;10;16;0;-0,000304207;0,4822038;0;2,34501E-05;0;1,33978E-05;-0,000369495;13,71504;0;0
1;9210;780893,9388;290,8903677;42596,71663;10;16;0;-0,00030456;0,4769693;0;2,45936E-05;0;1,39465E-05;-0,000369495;13,71504;0;0
1;9211;780906,6069;303,558483;42596,71678;10;16;0;-0,000304207;0,4717347;0;2,56646E-05;0;1,44549E-05;-0,000369495;13,71504;0;0
1;9212;780922,0089;318,9605018;42596,71697;10;16;0;-0,00030456;0,4665002;0;2,69667E-05;0;1,50664E-05;-0,000307912;13,71504;0;0
1;9213;780936,4931;333,4447217;42596,71713;10;16;0;-0,000304914;0,4612657;0;2,81912E-05;0;1,5635E-05;-0,000369495;13,71504;0;0
1;9214;780952,4854;349,4370204;42596,71731;10;16;0;-0,00030456;0,4560312;0;2,95432E-05;0;1,62558E-05;-0,000307912;13,71504;0;0
1;9215;780969,4925;366,4440806;42596,71751;10;16;0;-0,000304207;0,4507967;0;3,09812E-05;0;1,69082E-05;-0,000246328;13,71504;0;0
1;9216;780985,9307;382,8822813;42596,7177;10;16;0;-0,00030456;0,4455621;0;3,2371E-05;0;1,75315E-05;-0,000307918;13,71504;0;0
1;9217;781004,4159;401,36749;42596,71792;10;16;0;-0,000304914;0,4403276;0;3,39338E-05;0;1,82242E-05;-0,000307912;13,71504;0;0
1;9218;781022,6901;419,6416626;42596,71813;10;16;0;-0,000304914;0,4350931;0;3,54788E-05;0;1,8901E-05;-0,000307918;13,71504;0;0
1;9219;781042,1304;439,0820106;42596,71836;10;16;0;-0,000303854;0,4298586;0;3,71226E-05;0;1,96125E-05;-0,000307912;13,71504;0;0
1;9220;781062,9265;459,8781414;42596,71859;10;16;0;-0,000304914;0,4246241;0;3,88809E-05;0;2,03644E-05;-0,000246328;13,71504;0;0
1;9221;781084,2948;481,2464138;42596,71884;10;16;0;-0,00030456;0,4193895;0;4,06875E-05;0;2,11275E-05;-0,000246334;13,71504;0;0
1;9222;781107,652;504,6036257;42596,71911;10;16;0;-0,00030456;0,414155;0;4,26626E-05;0;2,19514E-05;-0,000246328;13,71504;0;0
1;9223;781131,7324;528,6840201;42596,71939;10;16;0;-0,00030456;0,4089205;0;4,46986E-05;0;2,279E-05;-0,000246334;13,71504;0;0
1;9224;781157,8026;554,7542098;42596,71969;10;16;0;-0,00030456;0,403686;0;4,69029E-05;0;2,36862E-05;-0,000184751;13,71504;0;0
1;9225;781184,4529;581,404533;42596,72;10;16;0;-0,000304207;0,3984514;0;4,91562E-05;0;2,45906E-05;-0,000246328;13,71504;0;0
1;9226;781212,3293;609,2809361;42596,72032;10;16;0;-0,00030456;0,3932169;0;5,15131E-05;0;2,55244E-05;-0,000307912;13,71504;0;0
1;9227;781243,9616;640,9132027;42596,72068;10;16;0;-0,00030456;0,3879824;0;5,41872E-05;0;2,65699E-05;-0,000184745;13,71504;0;0
1;9228;781276,6491;673,6006908;42596,72106;10;16;0;-0,00030456;0,3827479;0;5,69509E-05;0;2,76357E-05;-0,000184751;13,71504;0;0
1;9229;781312,1253;709,0769534;42596,72148;10;16;0;-0,00030456;0,3775133;0;5,99504E-05;0;2,87769E-05;-0,000184751;13,71504;0;0
1;9230;781351,0459;747,9975215;42596,72193;10;16;0;-0,00030456;0,3722788;0;6,3241E-05;0;3,00113E-05;-0,000123161;13,71504;0;0
1;9231;781390,2402;787,1918571;42596,72238;10;16;0;-0,00030456;0,3670443;0;6,65547E-05;0;3,12373E-05;-0,000184751;13,71504;0;0
1;9232;781437,1198;834,0713877;42596,72293;10;16;0;-0,000304207;0,3618098;0;7,05186E-05;0;3,26832E-05;-0,000123161;13,71504;0;0
1;9233;781485,5565;882,5081069;42596,72348;10;16;0;-0,00030456;0,3565753;0;7,46139E-05;0;3,41553E-05;-0,000123167;13,71504;0;0
1;9234;781540,73;937,6816084;42596,72412;10;16;0;-0,00030456;0,3513407;0;7,9279E-05;0;3,58078E-05;-0,000123167;13,71504;0;0
1;9235;781600,4377;997,3892577;42596,72481;10;16;0;-0,00030456;0,3461062;0;8,43269E-05;0;3,75698E-05;-0,000184745;13,71504;0;0
1;9236;781672,7647;1069,716272;42596,72565;10;16;0;-0,00030456;0,3408717;0;9,0442E-05;0;3,96723E-05;-0,000123167;13,71504;0;0
1;9237;781751,9145;1148,866129;42596,72656;10;16;0;-0,00030456;0,3356372;0;9,71343E-05;0;4,19384E-05;-0,000184745;13,71504;0;0
1;9238;781852,6376;1249,589249;42596,72773;10;16;0;-0,00030456;0,3304026;0;0,00010565;0;4,47777E-05;-0,000123167;13,71504;0;0
1;9239;781972,649;1369,60061;42596,72912;10;16;0;-0,00030456;0,325784;0;0,000115797;0;4,81076E-05;0;13,71504;0;0
1;9240;782092,6554;1489,607;42596,73051;10;16;0;-0,00030456;0,3214732;0;0,000125943;0;5,13903E-05;0;13,71504;0;0
1;9241;782212,6627;1609,614349;42596,7319;10;16;0;-0,00030456;0,3180861;0;0,00013609;0;5,46352E-05;-6,15835E-05;13,71504;0;0
1;9242;782332,6699;1729,621522;42596,73329;10;16;0;-0,00030456;0,3153149;0;0,000146237;0;5,78489E-05;-6,15835E-05;13,71504;0;0
